genre,genre_group,total_minutes_played
covers,Acoustic/Instrumental,958.9082166666666667
instrumental,Acoustic/Instrumental,715.5872000000000000
Drum and bass,Acoustic/Instrumental,256.1780666666666667
alternative,Alternative,694.3371500000000000
experimental,Alternative,337.6426500000000000
psychedelic,Alternative,47.3580666666666667
mpb,Brazilian,1035.6420500000000000
brazil,Brazilian,465.6377666666666667
infantil- juvenil- brasileira,Brazilian,386.4905500000000000
Disney,Children,1139.2824666666666667
glee,Children,247.6791333333333333
cartoon,Children,45.7615000000000000
chill,Chill,1258.0813666666666667
Lo-Fi,Chill,256.6058833333333333
ambient,Chill,145.3046666666666667
christian,Christian,1741.3930333333333333
worship,Christian,339.8689000000000000
gospel,Christian,46.3076000000000000
Classical,Classical,145.5057000000000000
contemporary classical,Classical,8.1308833333333333
classical guitar,Classical,1.2139833333333333
country,Country,566.6660666666666667
Alt-country,Country,5.7391166666666667
dance,Dance,689.3654833333333333
Disco,Dance,113.2615000000000000
baile,Dance,63.4465666666666667
electronic,Electronic,7925.4239500000000000
dub,Electronic,319.9208666666666667
trance,Electronic,91.4686500000000000
emo,emo,8.5630000000000000
folk,Folk,4944.4499333333333333
folklore,Folk,13.0913000000000000
funk,Funk,1400.4861166666666667
phonk,Funk,0.80073333333333333333
Funk Carioca,Funk,0.65800000000000000000
funny,funny,0.57895000000000000000
rap,Hip-Hop,6860.9873333333333333
Hip-Hop,Hip-Hop,2384.3134666666666667
trap,Hip-Hop,1236.6784833333333333
indie,Indie,23448.279050000000
new wave,Indie,285.0086500000000000
indietronica,Indie,8.2771000000000000
jazz,Jazz,658.0531333333333333
free jazz,Jazz,37.1403166666666667
Smooth Jazz,Jazz,12.2345666666666667
latin,Latin,7006.0308500000000000
cumbia,Latin,2472.7015500000000000
Reggaeton,Latin,2327.2861000000000000
heavy metal,Metal,408.2719500000000000
Avant-garde Metal,Metal,316.5915000000000000
black metal,Metal,60.9131500000000000
Broadway,Musical,762.4629833333333333
pop,Pop,38668.429616666667
latin pop,Pop,4718.2210333333333333
britpop,Pop,2481.8610833333333333
post-punk,Punk,438.0812166666666667
punk,Punk,170.6621000000000000
street punk,Punk,6.6000000000000000
Rock Argentino,Rock,31447.962433333333
rock,Rock,24294.122750000000
indie rock,Rock,7056.7896833333333333
reggae,Ska/Reggae,18401.771450000000
ska,Ska/Reggae,3604.4655166666666667
soul,Soul/R&B/Blues,2235.0728000000000000
rnb,Soul/R&B/Blues,1543.9625500000000000
blues,Soul/R&B/Blues,827.4690000000000000
Workout,Workout,0.22180000000000000000
world,world,58.1200000000000000
xmas,xmas,0.05301666666666666667
Other,Acoustic/Instrumental,266.92468333333333326667
Other,Alternative,3.1432166666666667
Other,Brazilian,243.24361666666666673334
Other,Children,123.866366666666666666670000
Other,Chill,327.56693333333333346667
Other,Christian,78.07049999999999999999
Other,Classical,1.20501666666666666667
Other,Dance,89.2779833333333333
Other,Electronic,158.81961666666666670001
Other,Funk,0.05568333333333333333
Other,Hip-Hop,1020.90261666666666670001
Other,Indie,4.2094833333333334
Other,Latin,1956.89406666666666670001
Other,Metal,168.11168333333333329999
Other,Pop,5129.73120000000000016667
Other,Rock,10626.22284999999999986667
Other,Soul/R&B/Blues,4.77150000000000003333
