month,rock,indie,reggae,pop,trap,bossa_nova,latin,house,neo_psychedelic,trova,axe,motown,candombe,trip_hop,mpb,musicals,soul,cumbia,merengue,folklore,sertanejo,christmas,new_wave,alternative,funk,downtempo,ambient,big_beat,salsa,punk,corridos_tumbados,jazz,singer_songwriter,ska,disco,religious,cuarteto,lullaby,jam_band,mariachi,cha_cha_cha,bolero,anti_folk,lounge,uk_garage,rkt,bachata,rap,nu_metal,rnb,alte,corrido,chanson,post_punk,hip_hop
2025-03-01,605.3145666666666667,454.1096500000000000,125.2810500000000000,103.0626500000000000,9.4854833333333333,0,4.4858833333333333,11.8849166666666667,0.48768333333333333333,0,0,8.6222000000000000,0,0,0,0,1.8235166666666667,4.2366666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6377666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01,1885.9726000000000000,377.5005666666666667,50.2734000000000000,220.3512500000000000,40.4398833333333333,0,13.0324500000000000,25.6495833333333333,14.8861166666666667,18.8693000000000000,0,4.3111000000000000,17.4207000000000000,0,0,0,4.2426666666666667,8.5763500000000000,0,1.3591166666666667,0,0,2.5995500000000000,7.4351000000000000,0,0,0,4.8087000000000000,0,0,0,0,0,0,3.7500000000000000,5.5597000000000000,0,0,0,0,0,0,0,2.8579666666666667,0,0.91021666666666666667,0,1.2286500000000000,1.2209500000000000,0,0,0,0,0,0
2025-05-01,1368.5629666666666667,502.0287500000000000,26.7801000000000000,259.9381500000000000,203.4329000000000000,0,11.9415500000000000,30.0104166666666667,15.7047833333333333,0,0,8.6222000000000000,4.0133166666666667,0,0,0,0,0,0,0,0,0,3.7546666666666667,7.4351000000000000,0,0,0,6.6085833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-01,1720.0757666666666667,379.7043333333333333,12.9792166666666667,205.6381333333333333,53.3559166666666667,0,0,15.4485666666666667,16.5710333333333333,0,0,0,0,0,0,0,4.2426666666666667,0,0,0,0,0,0,7.4351000000000000,0,0,0,0,0,0,6.2595500000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18433333333333333333,0,0,0,0
2025-07-01,1432.1949833333333333,549.7019666666666667,452.9035833333333333,196.7741333333333333,6.9749333333333333,0,196.4703833333333333,11.1896666666666667,31.3947333333333333,30.2077500000000000,0,4.3111000000000000,16.8286000000000000,0,15.6479833333333333,0,0,5.4359666666666667,15.5626500000000000,4.4745666666666667,0,0,0,0,0,0,0,0,4.6477666666666667,0.00205000000000000000,0,0,3.5402666666666667,0,0,0,0,0,0,0,0,0,0,0,2.6889833333333333,0,1.5953500000000000,0,0,0,0,0,0,0.04125000000000000000,0
2025-08-01,891.2635333333333333,212.4368833333333333,9.1552833333333333,24.3520500000000000,179.3974333333333333,0,34.3399166666666667,7.6930333333333333,9.7537166666666667,0,0,0,4.9905500000000000,0,0,0,0,0,2.0240333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00641666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-01,1685.0288166666666667,745.7379000000000000,167.5069500000000000,85.0270000000000000,0,0,0,22.6948166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0764333333333333,0,0,0,0,0,0,9.0171833333333333,0,3.8226666666666667,3.6237666666666667,0,2.7106666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-01,761.5970833333333333,587.2311000000000000,162.8288000000000000,89.0700166666666667,2.4829000000000000,0,27.1506000000000000,14.8475666666666667,0,1.3129333333333333,0,0,0,0,0,2.8306666666666667,0,1.7973333333333333,0,0.15726666666666666667,0,26.5320833333333333,3.8958500000000000,0,0,0,0,0,0,0,0,0,0,6.8239833333333333,0,0,0,0,4.3893333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.15573333333333333333,0,0,0
2025-11-01,402.2989666666666667,168.5167000000000000,497.2318000000000000,122.6743333333333333,0,0,8.9106000000000000,8.9085333333333333,4.9797333333333333,0,0,0,0,50.0688166666666667,16.1857666666666667,0,0,0,0,0,0,0,0.59045000000000000000,0,0,16.7391000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-01,1353.4303000000000000,363.4067666666666667,214.4966500000000000,196.3676166666666667,312.2062666666666667,0,13.5388333333333333,15.1655500000000000,3.6266166666666667,0,0,8.6222333333333333,8.0266333333333333,9.1463500000000000,8.4838833333333333,0,8.3587333333333333,0,16.3989000000000000,20.0157833333333333,0,0,10.5397666666666667,0.18265000000000000000,0,2.7829166666666667,16.0689000000000000,0,4.6477833333333333,0,2.7136166666666667,0,0,0,0,0,0,0,0,4.1500000000000000,0,0,3.3726666666666667,0,0,0.74213333333333333333,0,0,0,0.45600000000000000000,0,0,0,0,0
2026-01-01,783.0259500000000000,372.9980833333333333,342.8503166666666667,321.6173833333333333,38.9356500000000000,0,17.4787500000000000,17.9884333333333333,2.4511500000000000,0,4.2314000000000000,14.0413333333333333,0,0,16.1857666666666667,0,17.1438000000000000,7.3415833333333333,0,0,11.8832666666666667,0,0,0,4.2527166666666667,0,0,0,0,0,0,0,0,0,0,0,4.8426333333333333,0,0,0,0,0,0,0,0,0.16866666666666666667,0,0,0,0,0,0,0.09170000000000000000,0,0
2026-02-01,781.6935166666666667,140.9653666666666667,132.0378166666666667,159.2797500000000000,3.0591166666666667,359.4064166666666667,17.4242666666666667,11.2546833333333333,0,23.2572666666666667,69.1111333333333333,8.6222333333333333,6.6522833333333333,0,0,0,4.2859500000000000,5.4359833333333333,0,3.0322166666666667,15.4792666666666667,0,0,0,15.6418333333333333,0,0,0,0,0,0,4.8264000000000000,0,0,0,0,0,3.6455833333333333,0,0,4.1081833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03401666666666666667
2026-03-01,817.1491500000000000,205.3977500000000000,9.3853333333333333,78.8618833333333333,0,0,3.9997833333333333,3.8152833333333333,0,3.9806666666666667,0,4.3111166666666667,2.1913333333333333,0,0,41.5076166666666667,0,3.1404000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
