hour,total_minutes,most_listened_genre,most_listened_genre_minutes,second_most_listened_genre,second_most_listened_genre_minutes,third_most_listened_genre,third_most_listened_genre_minutes
0,1179.33341666666666666667,rock,586.7799666666666667,pop,212.2132500000000000,reggae,184.7913000000000000
1,640.83930000000000003334,rock,395.8941000000000000,indie,94.7085500000000000,reggae,80.8435000000000000
2,423.25318333333333333334,rock,219.9499833333333333,reggae,63.1664166666666667,indie,52.1505166666666667
3,313.69753333333333336666,rock,174.3797166666666667,indie,61.2042666666666667,trap,12.9296500000000000
4,237.73099999999999990000,rock,113.9723000000000000,indie,51.2088833333333333,trip hop,35.2312833333333333
5,205.24618333333333350000,rock,73.6063666666666667,musicals,34.0695000000000000,indie,31.3529166666666667
6,14.97763333333333340000,musicals,7.2841666666666667,indie,4.2927166666666667,rock,3.3314000000000000
7,0,NULL,0,NULL,0,NULL,0
8,22.19948333333333333334,pop,7.0904333333333333,rock,6.9276166666666667,soul,4.2859500000000000
9,438.27061666666666666667,rock,248.0477500000000000,pop,85.2337666666666667,indie,44.4165666666666667
10,565.4481500000000000,rock,266.2372000000000000,pop,105.3947000000000000,bossa nova,99.6312833333333333
11,685.44268333333333320000,rock,349.6252833333333333,indie,182.1933333333333333,bossa nova,113.3147500000000000
12,1250.4663833333333334,rock,650.6070500000000000,indie,395.0109166666666667,reggae,62.0715166666666667
13,1405.9553333333333335,rock,776.2790833333333333,indie,339.7107000000000000,reggae,107.7745166666666667
14,2451.5207666666666665,rock,1089.8193333333333333,indie,719.7990833333333333,reggae,234.2508833333333333
15,2626.80026666666666670000,rock,942.8738833333333333,indie,828.9921500000000000,reggae,262.1851333333333333
16,1969.02154999999999980000,rock,851.6951333333333333,indie,436.9303000000000000,reggae,291.4642500000000000
17,1785.46836666666666660000,rock,1075.6302500000000000,indie,224.3486333333333333,reggae,203.4684500000000000
18,1694.75543333333333340000,rock,999.9007000000000000,indie,319.5491833333333333,reggae,139.2081500000000000
19,1852.15615000000000010000,rock,1234.4689500000000000,indie,277.9322000000000000,reggae,124.3777333333333333
20,1901.57393333333333320000,rock,1297.9923833333333333,indie,239.1101500000000000,pop,116.4637500000000000
21,1632.21541666666666660000,rock,1031.6607666666666667,indie,202.8040000000000000,pop,115.8181166666666667
22,1878.33878333333333326667,rock,1257.5225166666666667,indie,296.7309000000000000,pop,102.7783833333333333
23,1337.62998333333333343333,rock,840.4064666666666667,pop,144.1190500000000000,indie,140.5875833333333333
